iter	Logloss
0	0.6537736145
1	0.6236225267
2	0.5953920384
3	0.5727254922
4	0.5602389475
5	0.5304848105
6	0.5111981034
7	0.4928963532
8	0.4725598395
9	0.4590158363
10	0.4463212043
11	0.4344184101
12	0.4145695766
13	0.4009916782
14	0.3880719393
15	0.3737855752
16	0.3670911143
17	0.3557760467
18	0.3432847659
19	0.3330360204
20	0.3193059315
21	0.3122188747
22	0.3033590217
23	0.2948904882
24	0.2886875321
25	0.2808513095
26	0.2762690584
27	0.2672060082
28	0.2591798753
29	0.2515280197
30	0.2442192088
31	0.2381968399
32	0.2324135751
33	0.2259592687
34	0.2197903519
35	0.2159553493
36	0.2085823119
37	0.2039099584
38	0.1985670825
39	0.1942535614
40	0.1901089226
41	0.1861107449
42	0.1822501073
43	0.1785235802
44	0.1749250889
45	0.1688023408
46	0.1646328246
47	0.1614814624
48	0.1553233142
49	0.1519875055
50	0.1470923896
51	0.144498907
52	0.141983216
53	0.139545771
54	0.1371796653
55	0.1348851447
56	0.1322130014
57	0.1289991836
58	0.125920482
59	0.1235930969
60	0.1213421176
61	0.1194789931
62	0.1176660856
63	0.1155989443
64	0.113896853
65	0.1114073185
66	0.1095215244
67	0.1075858312
68	0.1058129941
69	0.1036693876
70	0.1022542144
71	0.1008791886
72	0.09954061359
73	0.09756342073
74	0.09630196417
75	0.09506921843
76	0.09386455516
77	0.09247411788
78	0.09112218519
79	0.09000535185
80	0.0876222377
81	0.08567168936
82	0.0837925896
83	0.08228317772
84	0.0813449795
85	0.08042785774
86	0.07953053216
87	0.07865518828
88	0.0773395362
89	0.07650338113
90	0.07568288843
91	0.07473209252
92	0.07394550492
93	0.07276794687
94	0.07202537358
95	0.07129707932
96	0.0705823265
97	0.06988088538
98	0.06919260075
99	0.06851641585
100	0.06725122655
101	0.06660918395
102	0.06598001967
103	0.06536163266
104	0.06475476548
105	0.0641533422
106	0.06356028219
107	0.06297921017
108	0.06240460897
109	0.06184189642
110	0.06128792837
111	0.06074484314
112	0.06021257366
113	0.05969316637
114	0.05918028827
115	0.0586765719
116	0.05818010246
117	0.05769271155
118	0.05721314624
119	0.05673952339
120	0.05627484558
121	0.05581166471
122	0.05535576493
123	0.0549041039
124	0.05446112715
125	0.05402368369
126	0.0535909875
127	0.05316561833
128	0.05275120462
129	0.05211614134
